Method,Top_K,Model,Fold,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
ANOVA,10,Random Forest,4,0.8,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8877665544332211,"age, sex, cp, restecg, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,10,Random Forest,5,0.85,0.9130434782608695,0.75,0.8235294117647058,0.9112723214285714,"age, sex, cp, restecg, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,10,XGBoost,1,0.7868852459016393,0.8,0.7142857142857143,0.7547169811320755,0.908008658008658,"age, sex, cp, trestbps, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,10,XGBoost,2,0.8032786885245902,0.8076923076923077,0.75,0.7777777777777778,0.8755411255411255,"age, sex, cp, restecg, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,10,XGBoost,3,0.819672131147541,0.8148148148148148,0.7857142857142857,0.8,0.9058441558441558,"age, sex, cp, restecg, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,10,XGBoost,4,0.8,0.8260869565217391,0.7037037037037037,0.76,0.8675645342312008,"age, sex, cp, restecg, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,10,XGBoost,5,0.8166666666666667,0.84,0.75,0.7924528301886793,0.9084821428571428,"age, sex, cp, restecg, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,13,Logistic Regression,1,0.9180327868852459,0.896551724137931,0.9285714285714286,0.9122807017543859,0.9372294372294372,"age, sex, cp, trestbps, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,13,Logistic Regression,2,0.819672131147541,0.8148148148148148,0.7857142857142857,0.8,0.882034632034632,"age, sex, cp, trestbps, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,13,Logistic Regression,3,0.7868852459016393,0.7777777777777778,0.75,0.7636363636363637,0.9123376623376623,"age, sex, cp, trestbps, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,13,Logistic Regression,4,0.7833333333333333,0.75,0.7777777777777778,0.7636363636363637,0.9180695847362513,"age, sex, cp, trestbps, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,13,Logistic Regression,5,0.85,0.9130434782608695,0.75,0.8235294117647058,0.9084821428571428,"age, sex, cp, trestbps, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,13,Random Forest,1,0.8688524590163934,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.9480519480519481,"age, sex, cp, trestbps, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal"
ANOVA,13,Random Forest,2,0.7868852459016393,0.7777777777777778,0.75,0.7636363636363637,0.8787878787878789,"age, sex, cp, trestbps, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal"
