Top_K,Model,Metric,ANOVA_Mean,DODA_Mean,DODA_minus_ANOVA,Difference_STD,Cohens_d,Wilcoxon_Statistic,p_value,Direction,Significance
13,Logistic Regression,ROC_AUC,0.9116306918390251,0.9116306918390251,0.0,0.0,0.0,0.0,1.0,Equal,Not significant
13,Random Forest,Accuracy,0.8217486338797814,0.8415846994535519,0.01983606557377051,0.018295405132582675,1.0842102391296076,0.0,0.125,DODA better,Not significant
13,Random Forest,Precision,0.8318964449399232,0.8498150448585232,0.017918599918599898,0.02969804573537756,0.6033595637323202,0.0,0.125,DODA better,Not significant
13,Random Forest,Recall,0.7695767195767196,0.7984126984126985,0.028835978835978836,0.016129974795258163,1.7877262179266358,0.0,0.125,DODA better,Not significant
13,Random Forest,F1,0.7987469216769993,0.8222183698654286,0.023471448188429278,0.018935696035046995,1.2395344826505093,0.0,0.125,DODA better,Not significant
13,Random Forest,ROC_AUC,0.9103629298941798,0.9063882876382877,-0.0039746422558922575,0.011718598288558752,-0.3391738634622223,5.0,0.625,ANOVA better,Not significant
13,XGBoost,Accuracy,0.8284153005464482,0.825136612021858,-0.0032786885245901674,0.007331370418032105,-0.447213595499958,0.0,1.0,ANOVA better,Not significant
13,XGBoost,Precision,0.8366679986679987,0.8425798605321747,0.005911861864176027,0.021922147126845138,0.26967531191032634,2.0,0.75,DODA better,Not significant
13,XGBoost,Recall,0.7841269841269842,0.7695767195767196,-0.014550264550264558,0.019929258165766368,-0.7300956427599691,0.0,0.5,ANOVA better,Not significant
13,XGBoost,F1,0.8074078284423111,0.8018581293157563,-0.005549699126554763,0.0056924628276351814,-0.974920573852965,0.0,0.25,ANOVA better,Not significant
13,XGBoost,ROC_AUC,0.8918052048260382,0.8964080286996954,0.004602823873657136,0.004637656460744979,0.9924891834091895,1.0,0.125,DODA better,Not significant
